BRANCH_ID|BRANCH_NAME|NO_KONTRAK|NAMA_CUSTOMER|ANG_KE|OVERDUE|NILAI_PEMBAYARAN|NILAI_ANGSURAN|NILAI_DENDA|TANGGAL_PEMBAYARAN|JAM_PEMBAYARAN|TANGGAL_PEMBUKUAN|PAYMENT_SOURCE|VALDO_CC|FIN_TYPE
0308||030814200224||20|0|2460552|2442000|18552|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0308||030815101153||11|0|582000|582000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0308||030815102477||9|1|580000|580000|0|2016-01-26|00:00:00|2016-01-25|KASIR|02|
0308||030815102594||9|3|531000|523000|8000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031013108051||31|5|480000|480000|0|2016-01-26|00:00:00|2016-01-26|BCA|02|
0310||031013414562||27|0|570000|570000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014104400||21|2|485000|480000|5000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014112782||16|3|176000|174000|2000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015109190||5|2|560000|560000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0310||031015112546||2|5|434000|434000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014106218||20|2|450000|450000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0310||031015100113||12|3|526000|518000|8000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015103063||10|3|496000|491000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015103088||10|1|545000|545000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
0310||031015109589||5|2|788000|783000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015111482||3|6|1676000|1627000|49000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031012413763||38|2|441000|436000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031013113100||28|1|513000|510000|3000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014100740||24|3|658000|650000|8000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014103526||22|2|355000|350000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031014110187||18|2|493000|489000|4000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014111054||17|6|604000|587000|17000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014112894||16|1|347000|345000|2000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031014113547||15|2|359000|359000|0|2016-01-26|00:00:00|2016-01-26|BCA|02|
0310||031014114320||15|2|348000|348000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0310||031015103018||10|6|282000|282000|0|2016-01-26|00:00:00|2016-01-26|Payment Point Online Banking|02|
0310||031015105537||8|1|423000|418000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031015109575||5|2|436000|431000|5000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015109631||5|1|481000|478000|3000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015109694||5|0|626000|626000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015113790||1|3|443000|436000|7000|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031015300171||4|0|724000|724000|0|2016-01-26|00:00:00|2016-01-26|KASIR|02|
0310||031013103368||34|3|472000|467000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031013115867||26|1|500000|495000|5000|2016-01-26|00:00:00|2016-01-26|PT. POS|02|
0310||031014107477||19|6|566000|566000|0|2016-01-26|00:00:00|2016-01-26|EDC|02|
